# this is a data file for CNF 2 cones simulation	

180 atoms	
1 atom types	

 -6.7705     6.7705 xlo xhi 
 -6.9414     6.9414 ylo yhi	
 -12.43375   12.43375 zlo zhi	

 Masses	
 
     1   12.0000	
 Atoms	
 
134	1	4.3515	-1.2171	-2.2426
135	1	4.7061	-2.3818	-4.381
136	1	4.1848	-2.3657	-3.0592
137	1	4.3891	-3.4528	-5.2576
138	1	3.3299	-4.3303	-4.9129
139	1	3.3833	-5.2741	-7.1854
140	1	2.7416	-5.1344	-5.9253
141	1	2.7647	-6.0275	-8.2186
142	1	1.4112	-6.4273	-8.0746
143	1	0.7094	-6.9414	-9.1979
144	1	1.4036	4.7418	-3.4496
145	1	0.7079	4.4627	-2.2426
146	1	2.7067	4.2193	-3.6408
147	1	3.2473	3.3493	-2.6572
148	1	4.7061	2.3819	-4.381
149	1	4.1848	2.3657	-3.0592
150	1	5.3243	1.2214	-4.9129
151	1	5.2103	0	-4.1995
152	1	5.8077	-1.2228	-6.2492
153	1	5.3243	-1.2214	-4.9129
154	1	5.7281	-2.404	-7.0328
155	1	4.9401	-3.488	-6.567
156	1	5.101	-4.5438	-8.7843
157	1	4.5247	-4.4874	-7.4867
158	1	1.4082	5.5877	-5.7609
159	1	0.7086	5.2907	-4.5604
160	1	2.7416	5.1344	-5.9253
161	1	3.3299	4.3303	-4.9129
162	1	4.9401	3.488	-6.567
163	1	4.3891	3.4528	-5.2576
164	1	5.7281	2.404	-7.0328
165	1	5.8077	1.2228	-6.2492
166	1	6.6313	0	-8.2186
167	1	6.1577	0	-6.8789
168	1	6.7705	-1.2248	-8.9231
169	1	6.2315	-2.4118	-8.3616
170	1	6.0136	-3.5387	-9.1979
171	1	1.4112	6.4273	-8.0746
172	1	0.7091	6.1167	-6.8789
173	1	2.7647	6.0275	-8.2186
174	1	3.3833	5.2741	-7.1854
175	1	5.101	4.5438	-8.7843
176	1	4.5247	4.4874	-7.4867
177	1	6.0136	3.5387	-9.1979
178	1	6.2315	2.4118	-8.3616
179	1	6.7705	1.2248	-8.9231
180	1	0.7094	6.9414	-9.1979
